enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny and a gentle breeze,1,38,101,27,17,18,2022-07-18,0,Precipitation is not expected,1017,38,100,18:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,37,99,26,16,19,2022-07-18,0,Precipitation is not expected,1017,36,97,19:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,13,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,35,95,23,14,22,2022-07-18,1,Low chance of precipitation,1017,34,94,20:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,33,92,21,13,26,2022-07-18,1,Low chance of precipitation,1017,32,90,21:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,9,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,32,89,20,12,30,2022-07-18,1,Low chance of precipitation,1017,30,86,22:00,1,Good,0,Clear Sky,Light winds from the south east,SE,SE,South Easterly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,30,87,20,12,32,2022-07-18,0,Precipitation is not expected,1017,29,84,23:00,1,Good,0,Clear Sky,Light winds from the south east,SE,SE,South Easterly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,29,85,19,12,34,2022-07-19,0,Precipitation is not expected,1017,28,82,00:00,1,Good,0,Clear Sky,Light winds from the south east,SE,SE,South Easterly,9,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,29,83,19,12,36,2022-07-19,0,Precipitation is not expected,1016,27,81,01:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,9,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,28,83,18,11,39,2022-07-19,0,Precipitation is not expected,1016,26,79,02:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,9,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,28,82,18,11,44,2022-07-19,0,Precipitation is not expected,1015,26,78,03:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,28,82,18,11,47,2022-07-19,1,Low chance of precipitation,1014,25,77,04:00,1,Good,2,Partly Cloudy,Light winds from the east south east,ESE,ESE,East South Easterly,9,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,27,81,18,11,47,2022-07-19,0,Precipitation is not expected,1014,25,76,05:00,1,Good,2,Partly Cloudy,Light winds from the south east,SE,SE,South Easterly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,26,79,20,12,46,2022-07-19,0,Precipitation is not expected,1014,24,76,06:00,1,Good,1,Sunny,Light winds from the south east,SE,SE,South Easterly,9,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,27,80,22,14,44,2022-07-19,1,Low chance of precipitation,1014,25,77,07:00,1,Good,1,Sunny,Light winds from the south east,SE,SE,South Easterly,10,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,28,83,26,16,40,2022-07-19,1,Low chance of precipitation,1013,26,79,08:00,1,Good,1,Sunny,Light winds from the south east,SE,SE,South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,31,87,31,19,35,2022-07-19,1,Low chance of precipitation,1013,29,84,09:00,1,Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,33,92,34,21,30,2022-07-19,1,Low chance of precipitation,1012,31,89,10:00,1,Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,16,10,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,36,97,37,23,26,2022-07-19,0,Precipitation is not expected,1012,34,93,11:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,38,100,39,24,23,2022-07-19,0,Precipitation is not expected,1011,36,97,12:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,20,12,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,39,102,40,25,22,2022-07-19,1,Low chance of precipitation,1011,37,99,13:00,1,Good,1,Sunny,A moderate breeze from the south south east,SSE,SSE,South South Easterly,21,13,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,39,103,40,25,22,2022-07-19,1,Low chance of precipitation,1010,37,99,14:00,1,Good,1,Sunny,A moderate breeze from the south south east,SSE,SSE,South South Easterly,21,13,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,39,102,39,24,23,2022-07-19,1,Low chance of precipitation,1010,37,98,15:00,1,Good,1,Sunny,A moderate breeze from the south,S,S,Southerly,21,13,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,38,100,38,23,25,2022-07-19,0,Precipitation is not expected,1009,36,96,16:00,1,Good,1,Sunny,A moderate breeze from the south,S,S,Southerly,20,13,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,37,98,36,22,28,2022-07-19,1,Low chance of precipitation,1009,34,94,17:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,20,12,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,35,96,34,21,32,2022-07-19,1,Low chance of precipitation,1009,33,91,18:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,19,12,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,33,92,33,20,37,2022-07-19,1,Low chance of precipitation,1009,30,87,19:00,1,Good,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,18,11,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,31,89,31,19,43,2022-07-19,2,Low chance of precipitation,1010,28,83,20:00,1,Good,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,30,86,30,18,49,2022-07-19,3,Low chance of precipitation,1010,26,79,21:00,1,Good,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,29,84,29,18,53,2022-07-19,3,Low chance of precipitation,1011,25,77,22:00,1,Good,0,Clear Sky,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,27,81,30,19,58,2022-07-19,2,Low chance of precipitation,1011,24,75,23:00,1,Good,0,Clear Sky,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,26,79,30,19,62,2022-07-20,2,Low chance of precipitation,1011,23,73,00:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,25,77,30,19,66,2022-07-20,2,Low chance of precipitation,1012,22,72,01:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,24,76,30,19,69,2022-07-20,2,Low chance of precipitation,1012,21,70,02:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,24,75,30,19,71,2022-07-20,3,Low chance of precipitation,1012,21,69,03:00,1,Good,2,Partly Cloudy,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
