enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny intervals and a gentle breeze,3,25,77,38,24,60,2024-09-18,0,Precipitation is not expected,1027,22,72,13:00,1,Good,3,Sunny Intervals,A gentle breeze from the east north east,ENE,ENE,East North Easterly,20,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a moderate breeze,3,26,78,38,24,56,2024-09-18,0,Precipitation is not expected,1027,23,73,14:00,1,Good,3,Sunny Intervals,A moderate breeze from the east north east,ENE,ENE,East North Easterly,22,14,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,26,79,38,24,54,2024-09-18,0,Precipitation is not expected,1026,23,74,15:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,21,13,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,26,78,37,23,54,2024-09-18,0,Precipitation is not expected,1026,23,74,16:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,21,13,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,25,76,37,23,57,2024-09-18,0,Precipitation is not expected,1026,22,72,17:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,23,74,36,22,60,2024-09-18,0,Precipitation is not expected,1026,21,70,18:00,1,Good,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,18,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,22,71,35,22,66,2024-09-18,0,Precipitation is not expected,1026,20,68,19:00,1,Good,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,18,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,21,69,34,21,72,2024-09-18,0,Precipitation is not expected,1026,19,66,20:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,17,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,20,67,33,21,78,2024-09-18,0,Precipitation is not expected,1027,18,64,21:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,19,66,30,19,83,2024-09-18,0,Precipitation is not expected,1027,17,63,22:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,15,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,18,65,27,17,87,2024-09-18,0,Precipitation is not expected,1026,17,62,23:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,18,64,24,15,90,2024-09-19,0,Precipitation is not expected,1026,16,61,00:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,24,15,93,2024-09-19,0,Precipitation is not expected,1026,16,60,01:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,24,15,94,2024-09-19,0,Precipitation is not expected,1026,16,60,02:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,24,15,95,2024-09-19,0,Precipitation is not expected,1025,16,60,03:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,12,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,25,16,96,2024-09-19,0,Precipitation is not expected,1025,15,60,04:00,1,Moderate,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,26,16,96,2024-09-19,0,Precipitation is not expected,1025,15,60,05:00,1,Moderate,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,62,27,17,97,2024-09-19,0,Precipitation is not expected,1025,15,59,06:00,1,Moderate,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,17,63,29,18,96,2024-09-19,0,Precipitation is not expected,1025,15,60,07:00,1,Moderate,3,Sunny Intervals,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,18,65,31,19,92,2024-09-19,0,Precipitation is not expected,1025,16,61,08:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,20,68,33,20,86,2024-09-19,0,Precipitation is not expected,1025,18,64,09:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,22,71,35,22,78,2024-09-19,0,Precipitation is not expected,1025,19,67,10:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,17,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,24,75,36,23,70,2024-09-19,0,Precipitation is not expected,1025,21,70,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,25,77,39,24,63,2024-09-19,0,Precipitation is not expected,1024,22,72,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,20,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,26,79,39,24,58,2024-09-19,0,Precipitation is not expected,1024,23,74,13:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,21,13,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,26,79,39,24,53,2024-09-19,0,Precipitation is not expected,1024,24,75,14:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,23,14,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,26,79,39,24,50,2024-09-19,0,Precipitation is not expected,1023,24,75,15:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,22,14,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a moderate breeze,1,25,78,38,24,48,2024-09-19,0,Precipitation is not expected,1023,23,74,16:00,1,Good,1,Sunny,A moderate breeze from the east north east,ENE,ENE,East North Easterly,21,13,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,25,76,37,23,51,2024-09-19,0,Precipitation is not expected,1023,23,73,17:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,23,74,36,22,56,2024-09-19,0,Precipitation is not expected,1023,22,71,18:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,18,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,22,72,35,22,62,2024-09-19,0,Precipitation is not expected,1023,20,69,19:00,1,Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,21,70,33,21,68,2024-09-19,0,Precipitation is not expected,1023,19,67,20:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,20,69,32,20,75,2024-09-19,0,Precipitation is not expected,1023,19,65,21:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,20,68,29,18,80,2024-09-19,0,Precipitation is not expected,1023,18,64,22:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,15,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,19,67,27,17,84,2024-09-19,0,Precipitation is not expected,1023,17,63,23:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and a gentle breeze,0,19,66,25,16,86,2024-09-20,0,Precipitation is not expected,1023,17,63,00:00,1,Good,0,Clear Sky,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,19,65,26,16,88,2024-09-20,0,Precipitation is not expected,1023,17,62,01:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,18,65,26,16,90,2024-09-20,0,Precipitation is not expected,1022,16,61,02:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,15,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,18,64,27,17,91,2024-09-20,0,Precipitation is not expected,1022,16,61,03:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,18,64,28,17,91,2024-09-20,0,Precipitation is not expected,1022,16,61,04:00,1,Good,2,Partly Cloudy,A gentle breeze from the north north east,NNE,NNE,North North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,18,64,29,18,91,2024-09-20,9,Low chance of precipitation,1022,16,61,05:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Partly cloudy and a gentle breeze,2,17,63,29,18,91,2024-09-20,9,Low chance of precipitation,1022,16,60,06:00,1,Good,2,Partly Cloudy,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,17,63,32,20,91,2024-09-20,9,Low chance of precipitation,1022,16,61,07:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,13,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,18,65,34,21,88,2024-09-20,0,Precipitation is not expected,1022,17,62,08:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,19,67,36,22,81,2024-09-20,0,Precipitation is not expected,1022,18,64,09:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,21,70,37,23,75,2024-09-20,0,Precipitation is not expected,1022,19,66,10:00,1,Good,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,17,11,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,22,72,38,24,68,2024-09-20,17,Low chance of precipitation,1021,20,68,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the east north east,ENE,ENE,East North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,23,74,39,24,62,2024-09-20,17,Low chance of precipitation,1021,21,70,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the east north east,ENE,ENE,East North Easterly,19,12,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
